Signature,Block Time,Human Time,Action,From,Token1,Amount1,TokenDecimals1,Token2,Amount2,TokenDecimals2,Value,Platforms,Sources
gxcAxaUX8GJPAdzVussw7Lk1BMwCz4Hy651Qmpxyu9s1uGBPChtzLMEgG5rJHfH9V41vuRugTn7x4hpzwFNGZvW,1743512793,2025-04-01T13:06:33.000Z,TOKEN SWAP,4GQeEya6ZTwvXre4Br6ZfDyfe2WQMkcDz2QbkJZazVqS,So11111111111111111111111111111111111111112,201061135751,9,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,843193622227,6,25536.77,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8
5VoFrhQ8mZgYfkGsD86HARn2UenVV151rGa2tYZj9BzdMdNtcCDKpKcxXCnB29Mrb6psCFAJZSAhUajTpqWuTdmF,1743512793,2025-04-01T13:06:33.000Z,AGG TOKEN SWAP,4m17jBwk9CdCtxoZgQZhi823DsTU2L2nu1iXaemcw4yt,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,1153034439631,6,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,359436332539,6,34274.41,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8|675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8|LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo
3aG5zaifqE2p2RqxsWHbXBAwtbQ3JGxtEAzrYSdxFd7FzfiedGSabnPwporr9rqSTttVQ1UV5ZpBPrUuBvPxdHtg,1743509775,2025-04-01T12:16:15.000Z,AGG TOKEN SWAP,5H1vhHriKcrJHQGRYAZXQfqtikadK34pnP8Yb44Ybyfz,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,123553556738,6,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,408801772597,6,12759.47,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8|LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo|SoLFiHG9TfgtdUXUjWAxi3LtvYuFyDLVhBWxdMZxyCe|PhoeNiXZ8ByJGLkxNfZRnkUfjvmuYqLR89jjFHGqdXY|675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8
3p6cNrdpoUnWfMg27uzzTFk8et55K4nBdz4SRC6nPkcakueDQBXfUqJ31AgTe8XrZJSCBHT3EyfmrGiThw9ddb9M,1743130353,2025-03-28T02:52:33.000Z,TOKEN SWAP,FG8LEP14GKw6ADNcqNHhVLNLuyMiJJFjzLrbiUEVQ75j,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,325772822731,6,So11111111111111111111111111111111111111112,88763818253,9,12251.18,BN111JnbLtbmQqqiCh7h2pDKhAhMx4wi77Mj7jJFbyp8,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8|BN111JnbLtbmQqqiCh7h2pDKhAhMx4wi77Mj7jJFbyp8
3p6cNrdpoUnWfMg27uzzTFk8et55K4nBdz4SRC6nPkcakueDQBXfUqJ31AgTe8XrZJSCBHT3EyfmrGiThw9ddb9M,1743130353,2025-03-28T02:52:33.000Z,AGG TOKEN SWAP,FG8LEP14GKw6ADNcqNHhVLNLuyMiJJFjzLrbiUEVQ75j,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,407216028414,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,15302673516,6,15302.67,BN111JnbLtbmQqqiCh7h2pDKhAhMx4wi77Mj7jJFbyp8,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4|BN111JnbLtbmQqqiCh7h2pDKhAhMx4wi77Mj7jJFbyp8
AXCT4QkZsAq2JJSUkDy8Rqa1RfvL5qRBfzZrLzT15ZbB4BKp9RDHxkkfxkKrhvJor2V14DFan8KSepg8uH5hbre,1743119484,2025-03-27T23:51:24.000Z,TOKEN SWAP,E7vSer9quJGkyWhZsYzFeyp9ZhVTqkh4Mkqte4MVUug4,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,435435593120,6,So11111111111111111111111111111111111111112,117058938510,9,16191.59,routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8|routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS
2WPbsLwXG8ZXvVzSgRe4qsf9DSqjuVbTxUQhrPmWZd2LvE6AKcMF5SsT19J539XjMqy8VC939wws3qg6UwpChnVB,1743094270,2025-03-27T16:51:10.000Z,TOKEN SWAP,MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa,So11111111111111111111111111111111111111112,77309416649,9,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,281847242853,6,10704.26,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8
4Ep5bQxzirx39QEdQpWjZD1HMf3h6HxtxUS2dmsW1f3EPCorvMDuMcRt9SKPkLLTo4usAaEaAVJPRbpAUhYC6Ydi,1743094270,2025-03-27T16:51:10.000Z,TOKEN SWAP,Hj8AdXeeMcjjn9x1d9MajyZKAV8LFJwtJbk7qPLJkcu8,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,300000000000,6,So11111111111111111111111111111111111111112,81884800867,9,11337.77,routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8|routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS
u6zDoQpx73cfPAMMBhBjHo25c2ZpiLAot3CXT1pMpjqw9L2yQryuvy5wXncMVoFMaJ7rev9F7ePKcp6nk5Rr8rH,1743094259,2025-03-27T16:50:59.000Z,TOKEN SWAP,Hj8AdXeeMcjjn9x1d9MajyZKAV8LFJwtJbk7qPLJkcu8,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,300000000000,6,So11111111111111111111111111111111111111112,81840273235,9,11331.6,routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8|routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS
52Gya2SWyLhcaKMJkAkEX6VHpNi1zKEmA8qA9tJrYQUefDaNbb5nVsTyCAX94a7Ud1kGRio5YqicatRrhSAw9HFT,1743055728,2025-03-27T06:08:48.000Z,AGG TOKEN SWAP,JD38n7ynKYcgPpF7k1BhXEeREu1KqptU93fVGy3S624k,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,246895680314,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,10187611471,6,10187.61,DCA265Vj8a9CEuX1eb1LWRnDT7uK6q1xMipnNyatn23M|JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4|675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8
